url,table_name
http://www.cqn.com.cn/ms/content/2018-12/08/content_6553259.htm,cqn_recall
http://tbt.sist.org.cn/cslm/wtospstb//201809/t20180926_2202254.html,wto_sps
http://www.cqn.com.cn/ms/content/2018-06/19/content_5930597.htm,cqn_recall
http://news.foodmate.net/2018/12/496759.html#3,foodmate_recall
https://www.cpsc.gov/Recalls/2018/Briggs--Stratton-Recalls-Riding-Mowers-Due-to-Risk-of-Injury,cpsc_recall
http://news.foodmate.net/2018/05/469488.html,foodmate_recall
http://www.cqn.com.cn/ms/content/2018-05/07/content_5746518.htm,cqn_recall
http://www.cqn.com.cn/ms/content/2018-01/10/content_5313505.htm#2,cqn_recall
http://itpp.trb.mofcom.gov.cn/article/hydt/sptchu/splei/nccp/201807/5495.html,guomao_jishu_wang
http://www.cqn.com.cn/ms/content/2018-09/05/content_6234492.htm,cqn_recall
http://news.foodmate.net/2018/03/462791.html#3,foodmate_recall
http://itpp.trb.mofcom.gov.cn/article/hydt/sptchu/ncxl/201810/6154.html#2,guomao_jishu_wang
https://www.cpsc.gov/Recalls/2018/Brompton-Bicycle-Recalls-Bicycles-Due-To-Fall-Hazard,cpsc_recall
http://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2018/68186r-eng.php,heath_canada_recall
http://itpp.trb.mofcom.gov.cn/article/hydt/sptchu/spbzjxg/201811/6382.html#2,guomao_jishu_wang
http://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2018/65714r-eng.php,heath_canada_recall
http://www.cqn.com.cn/ms/content/2018-09/18/content_6267240.htm,cqn_recall
https://www.cpsc.gov/Recalls/2018/Matrix-Fireworks-Recalls-Fireworks-Due-to-Violation-of-Federal-Standard-Explosion-and-Burn-Hazards#4,cpsc_recall
http://itpp.trb.mofcom.gov.cn/article/hydt/sptchu/ncxl/201807/5535.html,guomao_jishu_wang
http://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2018/67148r-eng.php,heath_canada_recall
http://itpp.trb.mofcom.gov.cn/article/hydt/sptchu/ncxl/201806/5224.html,guomao_jishu_wang
http://healthycanadians.gc.ca/recall-alert-rappel-avis/inspection/2018/67794r-eng.php,heath_canada_recall
http://www.cqn.com.cn/ms/content/2018-10/23/content_6370202.htm,cqn_recall
http://www.cqn.com.cn/ms/content/2018-04/13/content_5657942.htm,cqn_recall
http://www.cqn.com.cn/ms/content/2018-01/26/content_5373605.htm#2,cqn_recall
http://www.cqn.com.cn/ms/content/2018-04/23/content_5693019.htm,cqn_recall
http://news.foodmate.net/2018/11/492713.html,foodmate_epidemic
